day_of_year,lo,hi,mid
348,10767844.9429,16014629.88,12899744.4462
349,10785362.9143,16037985.0,12978575.4803
350,10807185.3524,16057612.2,13100070.9145
351,10833824.5905,16080046.2,13155134.1487
352,10855702.2286,16107838.4,13195802.3744
353,10873342.4,16125324.4,13246090.9256
354,10885241.2,16138217.8667,13325583.2769
355,10895057.8,16148542.1333,13404482.3282
356,10903610.8267,16153891.5,13450450.1795
357,10928981.4533,16162323.8,13480409.8708
358,10938858.68,16171261.0714,13506695.7621
359,10970601.84,16185402.3829,13531256.5533
360,11001522.4,16188698.4943,13558096.7446
361,11022208.9333,16196464.9057,13652790.5359
362,11039682.0667,16207107.0171,13791694.2333
363,11061237.6,16224150.6286,13886504.6617
364,11080880.0,16259963.0,13983789.39
365,11141104.614,16292717.0,14118082.5183
366,9694881.92265,14685441.4667,12244606.3
